0,10001
1,10002
2,10003
3,10004
4,10005
5,10006
6,10007
7,10009
8,10010
9,10011
10,10012
11,10013
12,10014
13,10016
14,10017
15,10018
16,10019
17,10020
18,10021
19,10022
20,10023
21,10024
22,10025
23,10026
24,10027
25,10028
26,10029
27,10030
28,10031
29,10032
30,10033
31,10034
32,10035
33,10036
34,10037
35,10038
36,10039
37,10040
38,10044
39,10048
40,10065
41,10069
42,10075
43,10111
44,10115
45,10128
46,10280
47,10281
48,10282
49,10451
50,10452
51,10453
52,10454
53,10455
54,10456
55,10457
56,10458
57,10459
58,10460
59,10461
60,10462
61,10465
62,10466
63,10467
64,10468
65,10469
66,10470
67,10471
68,10472
69,10473
70,10474
71,10475
72,11201
73,11203
74,11204
75,11205
76,11206
77,11207
78,11208
79,11209
80,11210
81,11211
82,11212
83,11213
84,11214
85,11215
86,11216
87,11217
88,11218
89,11219
90,11220
91,11221
92,11222
93,11223
94,11224
95,11225
96,11226
97,11228
98,11229
99,11230
100,11231
101,11232
102,11233
103,11234
104,11235
105,11236
106,11237
107,11238
108,11239
109,11251
110,11001
111,11004
112,11005
113,11040
114,11096
115,11101
116,11102
117,11103
118,11104
119,11105
120,11106
121,11109
122,11354
123,11355
124,11356
125,11357
126,11358
127,11359
128,11360
129,11361
130,11362
131,11363
132,11364
133,11365
134,11366
135,11367
136,11368
137,11369
138,11371
139,11372
140,11373
141,11374
142,11375
143,11377
144,11378
145,11379
146,11385
147,11411
148,11412
149,11413
150,11414
151,11415
152,11416
153,11417
154,11418
155,11419
156,11420
157,11421
158,11422
159,11423
160,11426
161,11427
162,11428
163,11429
164,11430
165,11432
166,11433
167,11434
168,11435
169,11436
170,11451
171,11691
172,11692
173,11694
174,11697
175,10301
176,10302
177,10303
178,10304
179,10305
180,10306
181,10307
182,10308
183,10309
184,10310
185,10312
186,10314
