timestamp,inbound_sms_count,inbound_vc_minutes,outbound_sms_count,outbound_vc_minutes,in_network_inbound_sms_count,out_of_network_inbound_sms_count,in_network_outbound_sms_count,out_of_network_outbound_sms_count,in_network_inbound_vc_minutes,out_of_network_inbound_vc_minutes,in_network_outbound_vc_minutes,out_of_network_outbound_vc_minutes
2013-05-19,0,4.483333333333333,0.0,3.95,0,0,0,0.0,2,2.4833333333333334,1,2.95
2013-05-20,0,3.6,0.0,4.65,0,0,0,0.0,0,3.6,4,0.6500000000000004
2013-05-21,0,0.85,0.0,7.566666666666666,0,0,0,0.0,0,0.85,2,5.566666666666666
2013-05-22,1,3.566666666666667,1.0,4.183333333333334,0,1,0,1.0,1,2.566666666666667,3,1.1833333333333336
2013-05-23,2,0.65,2.0,2.75,2,0,0,2.0,0,0.65,1,1.75
2013-05-24,0,1.3,0.0,2.2,0,0,0,0.0,0,1.3,1,1.2000000000000002
2013-05-25,0,15.233333333333333,0.0,2.8333333333333335,0,0,0,0.0,10,5.2333333333333325,0,2.8333333333333335
2013-05-26,1,0.75,1.0,4.933333333333334,1,0,0,1.0,0,0.75,0,4.933333333333334
2013-05-27,0,0.0,1.0,1.1166666666666667,0,0,1,0.0,0,0.0,1,0.1166666666666667
2013-05-29,0,1.2,0.0,0.5166666666666667,0,0,0,0.0,1,0.19999999999999996,0,0.5166666666666667
2013-05-30,0,0.95,1.0,3.533333333333333,0,0,1,0.0,0,0.95,3,0.5333333333333332
2013-05-31,0,6.766666666666667,0.0,3.1166666666666667,0,0,0,0.0,0,6.766666666666667,2,1.1166666666666667
2013-06-01,0,2.316666666666667,1.0,3.15,0,0,1,0.0,1,1.3166666666666669,3,0.1499999999999999
2013-06-02,0,10.466666666666667,0.0,1.6333333333333333,0,0,0,0.0,7,3.466666666666667,1,0.6333333333333333
2013-06-03,0,2.2,0.0,0.0,0,0,0,0.0,1,1.2000000000000002,0,0.0
2013-06-05,0,3.1,0.0,0.0,0,0,0,0.0,1,2.1,0,0.0
2013-06-06,0,2.216666666666667,0.0,7.683333333333334,0,0,0,0.0,1,1.2166666666666668,7,0.6833333333333336
2013-06-07,0,0.0,0.0,3.75,0,0,0,0.0,0,0.0,3,0.75
2013-06-08,0,7.766666666666667,0.0,2.9833333333333334,0,0,0,0.0,3,4.766666666666667,1,1.9833333333333334
2013-06-09,0,3.316666666666667,0.0,2.816666666666667,0,0,0,0.0,0,3.316666666666667,2,0.8166666666666669
2013-06-10,0,1.7666666666666666,0.0,5.45,0,0,0,0.0,0,1.7666666666666666,4,1.4500000000000002
2013-06-11,0,1.6333333333333333,0.0,3.9,0,0,0,0.0,1,0.6333333333333333,1,2.9
2013-06-12,0,0.0,0.0,2.6166666666666667,0,0,0,0.0,0,0.0,1,1.6166666666666667
