,Airport,Year,FAA REGION,COUNTY,CITY,STATE,AP Type,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,label,Latitude,Longitude
629,RDU,2013.0,ASO,WAKE,RALEIGH/DURHAM,NC,Federalized/Commercial,926.0,855.0,95.0,65.0,67514,67182,0.7843,0.7276,0.7636,13.8,14.42,4.14,16.86,2.25,1.28,2.74,13.8,4,35.877639,-78.787472
630,RDU,2014.0,ASO,WAKE,RALEIGH/DURHAM,NC,Federalized/Commercial,1156.0,1019.0,82.0,66.0,67367,67330,0.7563,0.7179,0.752,15.0,13.67,2.83,17.11,2.47,0.9,2.8,14.55,4,35.877639,-78.787472
631,RFD,2006.0,AGL,WINNEBAGO,CHICAGO/ROCKFORD,IL,Federalized/Commercial,9.0,11.0,2.0,8.0,8649,8564,0.6907,0.6568,0.7287,13.58,7.96,2.32,15.1,2.16,0.85,4.08,13.46,4,42.195361,-89.097222
632,RFD,2007.0,AGL,WINNEBAGO,CHICAGO/ROCKFORD,IL,Federalized/Commercial,4.0,7.0,2.0,11.0,9005,8979,0.684,0.6338,0.7453,13.41,8.53,2.35,15.39,2.31,0.77,4.57,13.18,4,42.195361,-89.097222
633,RFD,2008.0,AGL,WINNEBAGO,CHICAGO/ROCKFORD,IL,Federalized/Commercial,5.0,2.0,0.0,5.0,8074,8011,0.6886,0.6417,0.7445,14.56,8.52,2.31,16.28,2.19,0.76,4.26,13.16,4,42.195361,-89.097222
634,RFD,2011.0,AGL,WINNEBAGO,CHICAGO/ROCKFORD,IL,Federalized/Commercial,0.0,0.0,0.0,0.0,5094,5052,0.7899,0.7905,0.7838,10.78,10.67,0.1,10.63,1.46,0.02,1.74,10.49,0,42.195361,-89.097222
635,RFD,2012.0,AGL,WINNEBAGO,CHICAGO/ROCKFORD,IL,Federalized/Commercial,1.0,1.0,0.0,0.0,4856,4762,0.793,0.7807,0.7934,9.76,10.51,0.48,10.22,1.24,0.03,1.46,10.22,0,42.195361,-89.097222
636,RFD,2013.0,AGL,WINNEBAGO,CHICAGO/ROCKFORD,IL,Federalized/Commercial,0.0,0.0,0.0,0.0,4570,4445,0.754,0.7425,0.766,12.23,11.15,0.31,12.75,1.41,0.02,1.97,11.25,0,42.195361,-89.097222
637,RSW,2004.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,270.0,230.0,48.0,56.0,9204,9199,0.8228,0.8101,0.756,10.72,12.93,2.09,11.69,1.64,0.82,3.39,13.63,0,26.536167,-81.755167
638,RSW,2005.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,349.0,331.0,63.0,34.0,39361,39446,0.7828,0.7557,0.7208,12.86,13.46,2.76,14.55,2.1,1.6,4.89,14.91,4,26.536167,-81.755167
639,RSW,2006.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,179.0,152.0,89.0,70.0,38541,38574,0.7949,0.7687,0.7364,12.31,12.88,2.44,13.94,2.49,1.79,4.82,13.96,4,26.536167,-81.755167
640,RSW,2007.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,247.0,231.0,79.0,48.0,40564,40640,0.7825,0.7528,0.7281,13.44,12.63,2.64,15.27,2.62,1.41,4.86,14.86,4,26.536167,-81.755167
641,RSW,2008.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,250.0,220.0,79.0,67.0,38640,38758,0.8106,0.7892,0.7679,12.09,12.21,2.21,13.54,2.05,0.54,4.4,13.18,0,26.536167,-81.755167
642,RSW,2009.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,163.0,140.0,80.0,40.0,35902,35903,0.8298,0.8077,0.7976,10.47,11.98,2.2,11.86,2.3,0.75,3.7,11.06,0,26.536167,-81.755167
643,RSW,2010.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,347.0,323.0,64.0,57.0,36391,36472,0.833,0.81,0.7882,10.55,11.97,2.23,12.01,2.46,0.86,3.58,11.72,0,26.536167,-81.755167
644,RSW,2011.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,296.0,241.0,88.0,73.0,36450,36385,0.8199,0.7929,0.7812,11.34,12.13,2.42,12.89,2.28,0.94,3.67,12.27,0,26.536167,-81.755167
645,RSW,2012.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,189.0,165.0,48.0,43.0,34601,34659,0.8523,0.8297,0.811,8.99,11.97,2.24,10.33,2.13,0.88,3.24,10.36,0,26.536167,-81.755167
646,RSW,2013.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,156.0,138.0,76.0,59.0,35396,35252,0.8139,0.788,0.7735,11.66,12.21,2.34,13.25,2.19,1.03,3.88,12.59,0,26.536167,-81.755167
647,RSW,2014.0,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,384.0,350.0,92.0,82.0,34687,34572,0.7816,0.7525,0.7558,13.91,12.31,2.45,15.67,2.61,1.02,3.93,14.58,4,26.536167,-81.755167
648,SAN,2004.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,944.0,748.0,165.0,243.0,96361,95914,0.8296,0.795,0.7877,8.8,12.86,3.49,11.21,2.62,0.94,3.04,11.05,0,32.733556,-117.18966699999999
649,SAN,2005.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,926.0,768.0,137.0,202.0,102281,101518,0.8202,0.776,0.7774,9.32,13.3,3.81,12.15,2.63,1.16,3.22,11.49,0,32.733556,-117.18966699999999
650,SAN,2006.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,1219.0,1060.0,171.0,338.0,102803,102972,0.8189,0.777,0.7733,9.64,13.18,3.5,12.15,2.55,1.0,3.11,11.49,0,32.733556,-117.18966699999999
651,SAN,2007.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,1142.0,1013.0,236.0,150.0,106794,107009,0.8176,0.7655,0.7727,10.11,13.79,4.03,13.0,2.73,1.09,2.96,12.26,0,32.733556,-117.18966699999999
652,SAN,2008.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,1251.0,1048.0,201.0,359.0,103786,104107,0.8091,0.7654,0.7727,11.02,13.62,3.75,13.61,2.66,0.98,3.19,12.36,0,32.733556,-117.18966699999999
653,SAN,2009.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,768.0,653.0,148.0,219.0,91757,92101,0.83,0.8021,0.8048,9.56,12.95,3.04,11.45,2.61,0.89,2.51,10.11,0,32.733556,-117.18966699999999
654,SAN,2010.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,858.0,743.0,128.0,220.0,87436,87619,0.8166,0.7808,0.804,10.2,12.88,3.11,12.35,2.37,0.86,2.21,10.3,0,32.733556,-117.18966699999999
655,SAN,2011.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,1031.0,884.0,120.0,172.0,85528,85655,0.8161,0.7803,0.7936,10.36,12.92,3.17,12.54,2.02,0.83,2.52,11.03,0,32.733556,-117.18966699999999
656,SAN,2012.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,987.0,830.0,121.0,253.0,86058,86414,0.8273,0.7819,0.8065,10.32,13.37,3.63,12.91,1.96,1.06,2.13,10.76,0,32.733556,-117.18966699999999
657,SAN,2013.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,956.0,839.0,133.0,228.0,86848,87415,0.802,0.7573,0.7791,11.26,13.52,3.71,13.83,1.95,0.97,2.39,11.87,0,32.733556,-117.18966699999999
658,SAN,2014.0,AWP,SAN DIEGO,SAN DIEGO,CA,Federalized/Commercial,1010.0,931.0,155.0,183.0,90092,90007,0.7792,0.7378,0.7647,12.82,13.68,3.58,15.2,2.1,0.87,2.46,13.07,0,32.733556,-117.18966699999999
659,SAT,2004.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,555.0,499.0,51.0,52.0,53755,54414,0.7849,0.7684,0.751,11.87,9.97,2.37,13.48,2.88,0.68,3.35,13.0,0,29.533694,-98.469778
660,SAT,2005.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,525.0,502.0,66.0,31.0,53524,54155,0.7943,0.7735,0.7637,11.22,10.08,2.36,12.83,2.67,0.97,2.79,12.23,0,29.533694,-98.469778
661,SAT,2006.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,474.0,410.0,94.0,44.0,56908,57817,0.7895,0.7691,0.7511,11.92,10.51,2.42,13.42,2.75,0.85,3.03,13.31,0,29.533694,-98.469778
662,SAT,2007.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,721.0,660.0,99.0,113.0,59403,60046,0.7702,0.7403,0.7189,13.35,11.11,2.66,15.21,3.28,0.95,3.63,15.26,4,29.533694,-98.469778
663,SAT,2008.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,542.0,505.0,99.0,40.0,58527,58757,0.7904,0.7636,0.7442,12.26,11.2,2.58,14.01,2.56,0.94,3.14,14.02,4,29.533694,-98.469778
664,SAT,2009.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,253.0,207.0,93.0,61.0,52057,52241,0.8059,0.7851,0.7788,11.05,10.55,1.95,12.29,2.66,0.8,2.55,12.23,0,29.533694,-98.469778
665,SAT,2010.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,316.0,292.0,77.0,72.0,52583,52984,0.7948,0.7721,0.764,11.64,10.57,2.1,12.98,2.36,0.92,2.45,13.12,0,29.533694,-98.469778
666,SAT,2011.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,418.0,373.0,97.0,59.0,52547,52923,0.8078,0.7782,0.7862,11.09,11.22,2.63,12.81,1.71,0.97,2.25,11.94,0,29.533694,-98.469778
667,SAT,2012.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,303.0,243.0,64.0,65.0,53839,53996,0.8082,0.7789,0.784,10.82,11.39,2.74,12.58,1.69,1.1,2.45,11.76,0,29.533694,-98.469778
668,SAT,2013.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,386.0,330.0,70.0,88.0,53652,54020,0.782,0.76,0.7557,12.12,11.14,2.15,13.44,1.68,0.86,2.66,13.21,0,29.533694,-98.469778
669,SAT,2014.0,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,458.0,389.0,80.0,84.0,53144,53325,0.7601,0.7356,0.7323,13.55,11.07,2.07,14.86,2.17,1.02,2.84,15.2,4,29.533694,-98.469778
670,SDF,2004.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,421.0,359.0,43.0,44.0,71480,71254,0.6908,0.6431,0.7361,14.27,11.73,3.13,16.62,3.14,1.09,4.52,13.33,4,38.174085999999996,-85.736499
671,SDF,2005.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,342.0,314.0,51.0,19.0,74853,74918,0.6405,0.5939,0.7037,16.32,11.85,3.39,18.97,3.17,1.49,4.82,14.63,4,38.174085999999996,-85.736499
672,SDF,2006.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,226.0,189.0,52.0,32.0,72888,72864,0.6283,0.5702,0.6786,17.06,13.09,3.95,20.27,3.52,1.67,5.65,15.97,4,38.174085999999996,-85.736499
673,SDF,2007.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,440.0,399.0,46.0,12.0,76091,75865,0.7061,0.6413,0.7182,14.87,12.91,3.34,17.54,3.4,1.17,4.63,14.6,4,38.174085999999996,-85.736499
674,SDF,2008.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,405.0,360.0,60.0,31.0,69842,69458,0.7034,0.645,0.7157,15.22,12.7,3.03,17.72,3.51,1.29,5.13,14.97,4,38.174085999999996,-85.736499
675,SDF,2009.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,276.0,238.0,42.0,36.0,63330,62958,0.7311,0.6821,0.7467,14.04,12.57,2.59,16.18,2.99,0.93,4.18,12.52,4,38.174085999999996,-85.736499
676,SDF,2010.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,326.0,288.0,46.0,22.0,65983,65408,0.7105,0.6739,0.729,14.7,12.62,2.49,16.54,3.23,0.88,3.98,13.52,4,38.174085999999996,-85.736499
677,SDF,2011.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,259.0,241.0,35.0,39.0,66057,65376,0.7105,0.6952,0.7288,14.57,11.91,1.58,15.48,3.22,0.6,3.98,13.58,4,38.174085999999996,-85.736499
678,SDF,2012.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,164.0,140.0,34.0,21.0,64282,63257,0.7131,0.6973,0.7286,14.1,11.95,1.48,15.04,2.75,0.73,3.45,13.24,4,38.174085999999996,-85.736499
679,SDF,2013.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,262.0,213.0,51.0,26.0,65029,63796,0.7236,0.6863,0.7131,14.24,12.54,2.05,16.02,2.45,0.75,3.53,14.23,4,38.174085999999996,-85.736499
680,SDF,2014.0,ASO,JEFFERSON,LOUISVILLE,KY,Federalized/Commercial,434.0,383.0,54.0,15.0,64316,63805,0.715,0.6778,0.727,14.8,12.39,1.71,16.43,2.28,0.71,3.62,14.26,4,38.174085999999996,-85.736499
681,SEA,2004.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,1280.0,1366.0,246.0,179.0,175769,175080,0.8173,0.7812,0.8107,10.25,13.17,2.98,12.34,3.72,1.14,3.13,10.27,3,47.449889,-122.311778
682,SEA,2005.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,1006.0,1161.0,195.0,178.0,167561,167023,0.7911,0.7512,0.776,11.83,13.29,3.17,14.04,3.63,1.44,3.19,12.53,3,47.449889,-122.311778
683,SEA,2006.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,913.0,1052.0,227.0,180.0,166479,167019,0.7927,0.7469,0.7632,11.67,14.62,3.8,14.28,3.78,1.5,4.15,13.06,3,47.449889,-122.311778
684,SEA,2007.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,1077.0,1242.0,253.0,197.0,167658,167931,0.7771,0.7152,0.7437,12.38,15.53,4.04,15.54,4.18,1.29,4.66,14.16,3,47.449889,-122.311778
685,SEA,2008.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,1142.0,1163.0,264.0,175.0,166460,167035,0.8173,0.7716,0.7763,10.36,15.77,3.57,12.93,4.38,1.47,4.33,12.19,3,47.449889,-122.311778
686,SEA,2009.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,487.0,460.0,245.0,181.0,154524,154814,0.867,0.8208,0.833,7.66,15.5,3.39,10.13,3.7,1.85,3.36,9.03,0,47.449889,-122.311778
687,SEA,2010.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,480.0,458.0,253.0,94.0,152846,153105,0.8708,0.8449,0.848,7.46,14.32,2.39,8.96,3.1,1.17,2.64,8.67,0,47.449889,-122.311778
688,SEA,2011.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,509.0,509.0,203.0,127.0,153354,153779,0.8786,0.8503,0.8456,6.94,14.09,2.58,8.65,2.83,0.96,2.9,8.56,0,47.449889,-122.311778
689,SEA,2012.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,658.0,671.0,236.0,117.0,151109,150604,0.8806,0.8507,0.8577,7.13,14.05,2.6,8.86,2.56,1.32,2.73,8.05,0,47.449889,-122.311778
690,SEA,2013.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,423.0,441.0,201.0,184.0,154456,153310,0.8626,0.8212,0.8413,7.88,14.54,3.24,10.09,2.23,1.86,3.42,8.76,0,47.449889,-122.311778
691,SEA,2014.0,ANM,KING,SEATTLE,WA,Federalized/Commercial,502.0,543.0,272.0,98.0,165858,165955,0.848,0.8063,0.8245,8.63,14.79,3.18,10.87,2.75,1.82,3.88,9.86,0,47.449889,-122.311778
692,SFO,2004.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,1768.0,1987.0,250.0,139.0,162677,166132,0.8245,0.767,0.7627,9.82,15.8,4.41,12.84,2.77,1.15,3.93,13.28,3,37.618972,-122.374889
693,SFO,2005.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,1644.0,1865.0,274.0,138.0,162913,164784,0.7958,0.7376,0.7438,12.21,15.72,4.15,15.17,2.91,1.32,4.06,15.25,3,37.618972,-122.374889
694,SFO,2006.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,2361.0,2530.0,238.0,129.0,166306,168661,0.7467,0.6851,0.7019,14.69,16.1,4.39,17.91,3.08,1.38,4.8,17.17,3,37.618972,-122.374889
695,SFO,2007.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,2550.0,2753.0,332.0,162.0,174691,174929,0.7459,0.6652,0.6959,15.32,17.32,5.25,19.36,3.42,1.6,4.8,18.14,3,37.618972,-122.374889
696,SFO,2008.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,2790.0,2984.0,342.0,243.0,180476,180799,0.7532,0.691,0.7007,16.12,17.2,4.51,19.52,3.59,1.77,4.72,19.46,1,37.618972,-122.374889
697,SFO,2009.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,1631.0,1860.0,302.0,194.0,178369,178980,0.7844,0.7347,0.7412,13.52,16.51,3.87,16.32,3.66,1.53,3.92,16.75,3,37.618972,-122.374889
698,SFO,2010.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,2702.0,2934.0,365.0,352.0,181495,181856,0.7549,0.7063,0.7176,16.22,16.0,3.73,18.88,3.65,1.73,3.89,19.17,3,37.618972,-122.374889
699,SFO,2011.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,2859.0,3019.0,324.0,321.0,189552,190242,0.7655,0.6995,0.7165,14.81,16.43,4.4,18.24,3.66,2.15,3.84,18.37,3,37.618972,-122.374889
700,SFO,2012.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,4014.0,4232.0,383.0,338.0,199751,200238,0.7294,0.6413,0.6978,17.53,17.48,5.32,21.86,3.24,3.07,3.69,21.01,1,37.618972,-122.374889
701,SFO,2013.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,3318.0,3503.0,431.0,476.0,198131,198877,0.7623,0.7034,0.727,15.05,16.43,4.13,18.08,2.99,2.23,3.27,18.44,3,37.618972,-122.374889
702,SFO,2014.0,AWP,SAN MATEO,SAN FRANCISCO,CA,Federalized/Commercial,4257.0,4493.0,441.0,375.0,206374,205946,0.736,0.6458,0.6993,16.16,17.84,5.59,20.69,3.2,2.17,3.71,19.65,1,37.618972,-122.374889
703,SJC,2004.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,849.0,797.0,83.0,83.0,75631,76805,0.8063,0.7764,0.783,9.75,12.05,3.07,11.97,2.64,0.82,2.58,11.3,0,37.362667,-121.929111
704,SJC,2005.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,764.0,691.0,87.0,43.0,72696,73263,0.8011,0.7849,0.7688,9.97,11.08,2.19,11.43,2.68,1.08,2.67,11.87,0,37.362667,-121.929111
705,SJC,2006.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,753.0,669.0,94.0,103.0,73196,73856,0.7908,0.7599,0.7588,10.55,11.92,3.06,12.65,2.47,0.99,2.94,12.25,0,37.362667,-121.929111
706,SJC,2007.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,737.0,678.0,108.0,57.0,73741,74273,0.7988,0.7761,0.7649,10.42,11.5,2.31,11.75,2.25,0.81,2.63,12.24,0,37.362667,-121.929111
707,SJC,2008.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,806.0,759.0,111.0,87.0,67435,67891,0.816,0.7987,0.7831,9.98,11.11,2.15,11.27,1.97,0.92,2.52,11.44,0,37.362667,-121.929111
708,SJC,2009.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,535.0,517.0,62.0,30.0,57650,57930,0.8437,0.8324,0.8189,8.21,10.55,1.74,9.1,1.61,0.92,1.9,9.18,0,37.362667,-121.929111
709,SJC,2010.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,380.0,351.0,72.0,43.0,52042,52357,0.7955,0.7859,0.7883,10.32,10.18,1.59,11.07,1.65,0.73,2.13,10.69,0,37.362667,-121.929111
710,SJC,2011.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,489.0,450.0,60.0,71.0,51848,52070,0.8084,0.7917,0.7975,9.9,10.2,1.83,10.99,1.36,0.68,2.05,10.37,0,37.362667,-121.929111
711,SJC,2012.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,398.0,361.0,49.0,33.0,50458,50521,0.8317,0.8131,0.8277,8.66,10.48,2.1,9.92,1.39,0.78,1.8,8.87,0,37.362667,-121.929111
712,SJC,2013.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,432.0,403.0,60.0,25.0,52414,52518,0.7862,0.763,0.7797,10.85,11.01,2.28,12.29,1.33,0.71,2.02,11.31,0,37.362667,-121.929111
713,SJC,2014.0,AWP,SANTA CLARA,SAN JOSE,CA,Federalized/Commercial,428.0,391.0,70.0,34.0,55558,55523,0.7589,0.737,0.7487,12.67,11.06,2.14,13.93,1.8,0.7,2.46,13.09,0,37.362667,-121.929111
714,SJU,2004.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,330.0,289.0,55.0,28.0,60371,56735,0.8019,0.7794,0.7984,11.19,13.84,2.27,12.43,1.88,0.79,3.39,12.28,0,18.439295,-66.002004
715,SJU,2005.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,315.0,282.0,64.0,36.0,57736,54870,0.7789,0.7464,0.7604,12.74,14.14,3.03,14.43,1.63,1.36,4.04,14.65,4,18.439295,-66.002004
716,SJU,2006.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,257.0,233.0,63.0,44.0,55707,52948,0.8054,0.7446,0.7611,11.61,15.75,4.28,14.34,1.73,1.29,4.19,14.17,4,18.439295,-66.002004
717,SJU,2007.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,307.0,278.0,70.0,42.0,47987,47246,0.8014,0.7522,0.7414,12.53,15.22,3.16,14.97,1.55,1.71,4.09,16.31,4,18.439295,-66.002004
718,SJU,2008.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,238.0,197.0,78.0,29.0,44493,43448,0.8004,0.781,0.7533,12.54,14.22,1.85,13.59,1.64,1.25,3.75,15.18,4,18.439295,-66.002004
719,SJU,2009.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,199.0,159.0,57.0,58.0,48418,46678,0.8168,0.8015,0.7999,11.44,13.29,1.43,12.28,1.22,0.95,2.88,11.77,0,18.439295,-66.002004
720,SJU,2010.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,258.0,207.0,82.0,45.0,47314,45781,0.7967,0.7815,0.7719,12.21,13.04,1.39,13.0,1.65,1.32,3.53,13.4,0,18.439295,-66.002004
721,SJU,2011.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,240.0,201.0,101.0,55.0,42803,42401,0.8179,0.7934,0.7899,10.86,13.23,1.96,12.07,1.45,1.57,3.67,12.28,0,18.439295,-66.002004
722,SJU,2012.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,174.0,141.0,62.0,41.0,44716,43985,0.8417,0.8228,0.8181,9.55,13.15,1.82,10.55,1.41,1.33,2.89,10.64,0,18.439295,-66.002004
723,SJU,2013.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,127.0,94.0,65.0,64.0,42902,42175,0.8058,0.7808,0.784,12.31,13.56,2.2,13.52,1.78,1.41,2.86,12.96,0,18.439295,-66.002004
724,SJU,2014.0,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,280.0,241.0,72.0,31.0,43671,42965,0.8056,0.7784,0.7815,11.71,12.89,1.88,13.13,1.81,1.0,2.93,12.79,0,18.439295,-66.002004
725,SLC,2004.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,1547.0,1931.0,273.0,93.0,161528,160765,0.833,0.7503,0.8062,8.75,15.88,5.03,12.78,3.08,1.53,3.73,10.23,3,40.788388,-111.977773
726,SLC,2005.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,1685.0,2222.0,337.0,115.0,186361,184974,0.8237,0.743,0.8195,8.99,16.25,4.8,12.77,2.94,1.84,3.07,9.47,3,40.788388,-111.977773
727,SLC,2006.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,1027.0,1325.0,285.0,93.0,205054,169156,0.8292,0.7278,0.8055,9.04,17.4,5.76,13.57,3.82,1.73,3.42,10.49,3,40.788388,-111.977773
728,SLC,2007.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,1123.0,1482.0,353.0,82.0,171576,169476,0.813,0.6974,0.7813,10.06,18.72,6.6,15.34,4.62,1.86,3.77,11.98,3,40.788388,-111.977773
729,SLC,2008.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,1089.0,1335.0,414.0,172.0,159347,157543,0.8369,0.7518,0.8192,9.19,18.25,5.64,13.43,3.8,1.79,3.33,10.38,3,40.788388,-111.977773
730,SLC,2009.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,734.0,1000.0,447.0,190.0,151233,149920,0.8558,0.7571,0.8398,7.86,18.8,5.93,12.45,4.08,2.04,3.22,8.86,3,40.788388,-111.977773
731,SLC,2010.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,1006.0,1431.0,483.0,241.0,147975,146918,0.8293,0.7402,0.8195,9.44,18.29,5.28,13.54,4.06,1.9,3.11,9.84,3,40.788388,-111.977773
732,SLC,2011.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,801.0,1145.0,387.0,163.0,139366,139144,0.8529,0.7914,0.8488,8.18,17.41,4.54,11.25,2.71,1.32,2.4,8.38,0,40.788388,-111.977773
733,SLC,2012.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,473.0,754.0,312.0,62.0,129026,129031,0.8691,0.8153,0.8661,7.26,17.21,4.42,10.16,1.87,1.3,2.19,7.52,0,40.788388,-111.977773
734,SLC,2013.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,869.0,1139.0,301.0,291.0,128090,127946,0.8408,0.7698,0.8367,9.44,18.13,5.31,13.15,2.02,1.75,2.79,9.75,3,40.788388,-111.977773
735,SLC,2014.0,ANM,SALT LAKE,SALT LAKE CITY,UT,Federalized/Commercial,573.0,801.0,278.0,103.0,129307,128941,0.8286,0.7866,0.8369,9.86,16.59,3.72,12.17,1.84,1.31,2.47,9.77,0,40.788388,-111.977773
736,SMF,2007.0,AWP,SACRAMENTO,SACRAMENTO,CA,Federalized/Commercial,551.0,494.0,100.0,53.0,65686,65960,0.8025,0.769,0.7724,11.01,10.86,2.64,12.95,2.54,1.12,2.59,12.17,0,38.695444,-121.590778
